id,name,underlying,type,create_date,expire_date,long_margin_ratio,short_margin_ratio
0,cu2311,cu,futures,20221116,20231115,0.1,0.1
1,cu2312,cu,futures,20221216,20231215,0.1,0.1
2,cu2401,cu,futures,20230117,20240115,0.1,0.1
3,cu2402,cu,futures,20230216,20240215,0.1,0.1
4,cu2403,cu,futures,20230316,20240315,0.1,0.1
5,cu2404,cu,futures,20230418,20240415,0.1,0.1
6,cu2405,cu,futures,20230516,20240515,0.1,0.1
7,cu2406,cu,futures,20230616,20240617,0.1,0.1
8,cu2407,cu,futures,20230718,20240715,0.1,0.1
9,cu2408,cu,futures,20230816,20240815,0.1,0.1
10,cu2409,cu,futures,20230918,20240916,0.1,0.1
